job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salary_clean,revenue_clean,company_size_clean
data scientist,senior,on-site,company_207,"Manassas, VA",14 days ago,"Boise, ID, US",Technology,Public,"40,060",€55.54B,"€94,077 - €118,737","['aws', 'python', 'linux', 'sql', 'gcp', 'hadoop']",94077118737,55.54,40060
data scientist,senior,uknown,company_209,"Bengaluru, Karnataka, India",8 days ago,"New York, NY, US",Technology,Private,"1,270",€913.33M,"€639,348","['spark', 'aws', 'python', 'sql', 'gcp', 'deep learning', 'tensorflow', 'tableau']",639348,913.33,1270
data analyst,midlevel,uknown,company_211,"Eindhoven, North Brabant, Netherlands",15 days ago,"Amsterdam, NH, NL",Healthcare,Public,"82,020",Public,"€69,047",['python'],69047,0,82020
data scientist,senior,uknown,company_212,"Cincinnati, OH",5 days ago,"Boston, MA, US",Technology,Public,"222,500",Public,"€135,179","['azure', 'aws', 'machine learning', 'python']",135179,0,222500
machine learning engineer,Uknown,on-site,company_215,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,"San Francisco, CA, US",Technology,Private,580,€7.07B,"€200,939 - €296,838",[],2.01E+11,7.07,580
data scientist,lead,hybrid,company_221,"Bengaluru, Karnataka, India . Hybrid",8 days ago,"New York, NY, US",Technology,Private,900,Private,"€19,096","['spark', 'r', 'python', 'java', 'sql', 'machine learning']",19096,0,900
data scientist,senior,uknown,company_223,Raleigh-Durham-Chapel Hill Area,2 days ago,"New York, NY, US",Technology,Public,"10,010",Public,"€99,560","['spark', 'aws', 'r', 'python', 'machine learning', 'hadoop', 'deep learning']",99560,0,10010
data scientist,senior,hybrid,company_092,"McLean, VA . Hybrid",5 days ago,"Toronto, ON, CA",Technology,Public,"24,030",Public,"€92,838 - €172,407","['java', 'machine learning', 'r', 'python']",92838172407,0,24030
data scientist,Uknown,remote,company_225,Fully Remote,7 days ago,"San Francisco, CA, US",Retail,Private,"12,300",€35.97B,"€137,001",[],137001,35.97,12300
data scientist,senior,on-site,company_226,"Rochester, New York Metropolitan Area",22 days ago,"Rochester, NY, US",Education,uknown,"9,320",Education,"€55,196 - €77,273","['deep learning', 'machine learning']",5519677273,0,9320
data scientist,senior,on-site,company_227,"Denver, CO",15 days ago,"Denver, CO, US",Healthcare,Public,"24,020",€6.34B,"€68,685 - €100,834","['pytorch', 'aws', 'r', 'python', 'docker', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']",68685100834,6.34,24020
data scientist,senior,hybrid,company_052,Greater São Paulo Area . Hybrid,22 days ago,"San Francisco, CA, US",Technology,Public,"26,910",€53.05B,"€50,222","['sql', 'r', 'python']",50222,53.05,26910
data scientist,midlevel,on-site,company_230,"Mettawa, IL",6 days ago,"North Chicago, IL, US",Healthcare,Public,"49,360",€245.39B,"€137,003",[],137003,245.39,49360
data scientist,senior,on-site,company_231,"South San Francisco, CA . On-site",25 days ago,"Kenilworth, NJ, US",Healthcare,Public,"78,750",€231.03B,"€124,219","['machine learning', 'r', 'python']",124219,231.03,78750
data scientist,senior,remote,company_233,United States,5 days ago,"Reston, VA, US",Technology,Public,"27,450",Public,"€95,586 - €172,785","['machine learning', 'r', 'python']",95586172785,0,27450
data scientist,lead,on-site,company_235,"San Antonio, TX",15 days ago,"San Antonio, TX, US",Finance,Private,"33,030",Private,"€137,008","['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",137008,0,33030
data scientist,senior,remote,company_236,United States . Fully Remote,a day ago,"Miami, FL, US",Technology,Private,30,Private,"€137,002 - €155,268","['sql', 'machine learning', 'tableau', 'python']",1.37E+11,0,30
data scientist,senior,uknown,company_041,"Mississauga, Ontario, Canada",5 days ago,"BS, CH",Healthcare,Public,"93,560",€247.18B,"€74,130","['gcp', 'git', 'r']",74130,247.18,93560
data scientist,senior,hybrid,company_241,"Manchester, England, United Kingdom . Hybrid",2 months ago,"London, GB",Technology,Private,180,Private,"€95,906 - €105,039","['pytorch', 'aws', 'scikit-learn', 'scipy', 'machine learning', 'gcp', 'azure', 'tensorflow']",95906105039,0,180
data scientist,Uknown,on-site,company_243,"Bowie, MD . On-site",8 days ago,"Bowie, MD, US",Technology,Public,"2,820",Public,"€101,149 - €110,282",[],1.01E+11,0,2820
